exact tail vs brute-force Monte Carlo   (200,000 reps per setting)

mechanism              n     r     u |      exact         Monte Carlo |      z
(1,1e-3)-DP         2000   500   120 |   0.086347     0.086850+-0.00126 |  -0.80
(1,1e-3)-DP         2000   500   133 |   0.485685     0.485225+-0.00224 |   0.41
(1,1e-3)-DP         2000   500   147 |   0.913673     0.913810+-0.00126 |  -0.22
(1,1e-3)-DP         2000  2000   429 |   0.000000     0/200000 events |   in CI
(1,1e-3)-DP         2000  2000   483 |   0.003048     0.003055+-0.00025 |  -0.05
(1,1e-3)-DP         2000  2000   537 |   0.504672     0.505370+-0.00224 |  -0.62
(1,1e-3)-DP         2000  2000   591 |   0.996617     0.996345+-0.00027 |   2.01
(1,1e-3)-DP         4000  1000   214 |   0.000049    13/200000 events |   in CI
(1,1e-3)-DP         4000  1000   241 |   0.028870     0.028930+-0.00075 |  -0.16
(1,1e-3)-DP         4000  1000   267 |   0.491789     0.491235+-0.00224 |   0.50
(1,1e-3)-DP         4000  1000   294 |   0.970505     0.970620+-0.00076 |  -0.30
(2,1e-2)-DP         2000   500    45 |   0.046397     0.046900+-0.00095 |  -1.06
(2,1e-2)-DP         2000   500    51 |   0.212783     0.213455+-0.00183 |  -0.73
(2,1e-2)-DP         2000   500    57 |   0.523026     0.523625+-0.00223 |  -0.54
(2,1e-2)-DP         2000   500    62 |   0.773444     0.775105+-0.00187 |  -1.78
(2,1e-2)-DP         2000  2000   188 |   0.000350     0.000325+-0.00008 |   0.62
(2,1e-2)-DP         2000  2000   212 |   0.049904     0.049810+-0.00097 |   0.19
(2,1e-2)-DP         2000  2000   236 |   0.516735     0.517165+-0.00223 |  -0.38
(2,1e-2)-DP         2000  2000   259 |   0.946682     0.947460+-0.00100 |  -1.56
(2,1e-2)-DP         4000  1000    91 |   0.009707     0.009720+-0.00044 |  -0.06
(2,1e-2)-DP         4000  1000   102 |   0.116790     0.116310+-0.00143 |   0.67
(2,1e-2)-DP         4000  1000   114 |   0.507682     0.506655+-0.00224 |   0.92
(2,1e-2)-DP         4000  1000   125 |   0.863637     0.863605+-0.00153 |   0.04
------------------------------------------------------------------------------

RESOLVED: 81 comparisons where the simulation has power
  |z| <= 2 :  78  (96%, expected 95%)
  |z| <= 3 :  81  (100%, expected 99.7%)
  mean z   : -0.005   (expected 0; a systematic offset would indicate bias)
  sd of z  : 0.883   (expected 1; much below 1 would suggest the two are not independent)
  max |z|  : 2.50

  nothing beyond 3 sigma

UNRESOLVED: 15 comparisons below the simulation's resolution
  checked against an exact Clopper-Pearson 99.9% interval instead;
  outside it: 0

VALIDATION PASSED
